Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,90747,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2005,90755,0.0,0.0,11.0,12.0,13.0,,61.0,,,,,,,12.0,,,0.0,15.0,,0.0
2005,90803,0.0,0.0,41.0,85.0,89.0,,225.0,,0.0,14.0,,12.0,,68.0,,,,57.0,,
2005,90804,,,83.0,76.0,51.0,,227.0,,,11.0,,13.0,,68.0,,13.0,,39.0,,0.0
2005,90805,14.0,,195.0,198.0,97.0,19.0,521.0,,,19.0,,35.0,20.0,161.0,,11.0,,122.0,,
2005,90806,,,68.0,122.0,57.0,,272.0,,11.0,15.0,,22.0,,95.0,,,,48.0,,
2005,90807,,0.0,46.0,108.0,134.0,,300.0,,0.0,19.0,,23.0,,107.0,,14.0,,48.0,,
2005,90808,,0.0,67.0,178.0,144.0,,394.0,15.0,0.0,23.0,,34.0,,123.0,,22.0,,98.0,,
2005,90810,,,56.0,119.0,51.0,,244.0,,,17.0,,16.0,,88.0,,,,44.0,,0.0
2005,90813,0.0,,119.0,94.0,30.0,12.0,263.0,,,21.0,,12.0,,81.0,,,,47.0,,
2005,90814,0.0,0.0,24.0,56.0,26.0,,113.0,,,,,13.0,,23.0,,,0.0,26.0,0.0,
2005,90815,0.0,0.0,27.0,163.0,138.0,,347.0,11.0,,26.0,,25.0,12.0,111.0,,11.0,,73.0,,
2005,90822,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2005,90831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,91006,0.0,0.0,17.0,84.0,81.0,,204.0,,,19.0,,,,59.0,,,,57.0,,
